2015-08-24 10:21:48,564 [5] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T18/D9] [LogScrubber] Waiting for tasks to complete
2015-08-24 10:21:48,564 [5] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T18/D9] [LogScrubber] Tasks completed, terminated
2015-08-24 10:21:48,564 [5] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T18/D9] [ScheduledTasks] Terminating
2015-08-24 10:21:48,564 [5] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T18/D9] [ScheduledTasks] Waiting for tasks to complete
2015-08-24 10:21:48,564 [5] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T18/D9] [ScheduledTasks] Tasks completed, terminated
2015-08-24 10:21:48,564 [5] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T18/D9] [ScheduledPublishing] Terminating
2015-08-24 10:21:48,564 [5] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T18/D9] [ScheduledPublishing] Waiting for tasks to complete
2015-08-24 10:21:48,564 [5] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T18/D9] [ScheduledPublishing] Tasks completed, terminated
2015-08-24 10:21:48,565 [5] INFO  Umbraco.Core.UmbracoApplicationBase - [T18/D9] Application shutdown. Reason: CodeDirChangeOrDirectoryRename
2015-08-24 10:22:01,791 [13] INFO  Umbraco.Core.CoreBootManager - [T1/D11] Umbraco application starting
2015-08-24 10:22:01,842 [13] INFO  Umbraco.Core.PluginManager - [T1/D11] Determining hash of code files on disk
2015-08-24 10:22:01,849 [13] INFO  Umbraco.Core.PluginManager - [T1/D11] Hash determined (took 5ms)
2015-08-24 10:22:01,858 [13] INFO  Umbraco.Core.PluginManager - [T1/D11] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2015-08-24 10:22:01,995 [13] INFO  Umbraco.Core.PluginManager - [T1/D11] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 37 (took 136ms)
2015-08-24 10:22:02,075 [13] INFO  Umbraco.Core.PluginManager - [T1/D11] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2015-08-24 10:22:02,078 [13] INFO  Umbraco.Core.PluginManager - [T1/D11] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 3ms)
2015-08-24 10:22:02,079 [13] INFO  Umbraco.Core.PluginManager - [T1/D11] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
2015-08-24 10:22:02,082 [13] INFO  Umbraco.Core.PluginManager - [T1/D11] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 16 (took 2ms)
2015-08-24 10:22:02,097 [13] INFO  Umbraco.Core.PluginManager - [T1/D11] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2015-08-24 10:22:02,100 [13] INFO  Umbraco.Core.PluginManager - [T1/D11] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 7 (took 2ms)
2015-08-24 10:22:02,100 [13] INFO  Umbraco.Core.PluginManager - [T1/D11] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
